X,Y,track_fid,track_seg_id,track_seg_point_id,ele,time,magvar,geoidheight,name,cmt,desc,src,link1_href,link1_text,link1_type,link2_href,link2_text,link2_type,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsdata,dgpsid,gpx10_speed,ogt10_accuracy,gpx10_course
-48.5141400620341,-27.5041470676661,0,0,62,22,2018/10/08 19:55:55+00,,,,,,,,,,,,,,,,,,,,,,14.3400001525879,3,351.600006103516
-48.5143437,-27.5014336,0,0,63,16,2018/10/08 19:56:44+00,,,,,,,,,,,,,,,,,,,,,,7.90999984741211,17,210.800003051758
-48.5152313,-27.5015201,0,0,64,18,2018/10/08 19:57:02+00,,,,,,,,,,,,,,,,,,,,,,1.42999994754791,19,338
-48.5156033,-27.5012549,0,0,65,12,2018/10/08 19:57:19+00,,,,,,,,,,,,,,,,,,,,,,4.56999969482422,21,46.4000015258789
-48.5148777,-27.5015912,0,0,66,-5,2018/10/08 19:57:37+00,,,,,,,,,,,,,,,,,,,,,,0.689999997615814,23,
-48.5151567,-27.501421,0,0,67,4,2018/10/08 19:58:02+00,,,,,,,,,,,,,,,,,,,,,,0.789999961853027,19,318.899993896484
-48.51515,-27.5012901,0,0,68,-10,2018/10/08 19:59:06+00,,,,,,,,,,,,,,,,,,,,,,0.149999991059303,19,
-48.5113344,-27.499502,0,1,0,31,2018/10/08 20:15:35+00,,,,,,,,,,,,,,,,,,,,,,1.74000000953674,28,
-48.5095684,-27.4979776,0,1,1,9,2018/10/08 20:16:02+00,,,,,,,,,,,,,,,,,,,,,,14.0199995040894,21,44.4000015258789
-48.5055606,-27.4945671,0,1,2,0,2018/10/08 20:16:36+00,,,,,,,,,,,,,,,,,,,,,,11.8099994659424,25,40
-48.5026999,-27.4904283,0,1,3,6,2018/10/08 20:17:25+00,,,,,,,,,,,,,,,,,,,,,,18.8699989318848,24,30.2000007629395
-48.5006774,-27.4881266,0,1,4,-4,2018/10/08 20:17:42+00,,,,,,,,,,,,,,,,,,,,,,18.6800003051758,28,37.5
-48.4990532,-27.4862895,0,1,5,14,2018/10/08 20:18:10+00,,,,,,,,,,,,,,,,,,,,,,4.38000011444092,27,27
-48.4976445,-27.4847912,0,1,6,1,2018/10/08 20:18:31+00,,,,,,,,,,,,,,,,,,,,,,15.2799997329712,24,38.2000007629395
-48.4950294,-27.4829104,0,1,7,5,2018/10/08 20:18:51+00,,,,,,,,,,,,,,,,,,,,,,16.3299999237061,21,62.7999992370605
-48.4926929,-27.4827998,0,1,8,6,2018/10/08 20:19:10+00,,,,,,,,,,,,,,,,,,,,,,11.3699998855591,19,49.2000007629395
-48.4916398,-27.4794348,0,1,9,4,2018/10/08 20:19:39+00,,,,,,,,,,,,,,,,,,,,,,17.1700000762939,9,14.3000001907349
